event_id,user_id,event_date,content_type,event_type
151,1544,2025-08-24,直播,曝光
152,545,2025-07-13,短视频,加购
153,935,2025-08-14,短视频,曝光
154,1644,2025-07-10,短视频,曝光
155,1668,2025-08-09,短视频,加购
156,447,2025-09-22,短视频,曝光
157,508,2025-08-14,短视频,分享
158,747,2025-08-30,短视频,加购
159,1288,2025-08-05,直播,曝光
160,1354,2025-09-28,直播,曝光
161,1519,2025-08-24,短视频,曝光
162,1112,2025-09-04,直播,曝光
163,1836,2025-09-12,直播,曝光
164,240,2025-09-09,直播,曝光
165,1050,2025-09-25,图文,曝光
166,451,2025-08-12,图文,分享
167,1078,2025-07-15,图文,曝光
168,1772,2025-07-22,直播,曝光
169,1771,2025-07-23,短视频,曝光
170,1978,2025-08-22,短视频,曝光
171,980,2025-07-09,直播,曝光
172,1388,2025-08-02,直播,曝光
173,954,2025-09-06,直播,点击
174,20,2025-08-13,直播,点击
175,567,2025-07-31,直播,点击
176,1487,2025-08-17,短视频,曝光
177,108,2025-07-12,图文,分享
178,1286,2025-07-03,图文,分享
179,918,2025-09-05,短视频,曝光
180,824,2025-08-25,直播,分享
181,1472,2025-09-02,图文,点击
182,457,2025-08-02,直播,曝光
183,519,2025-07-21,直播,曝光
184,332,2025-09-13,图文,曝光
185,217,2025-09-06,直播,曝光
186,168,2025-07-06,直播,点击
187,208,2025-09-27,短视频,曝光
188,1279,2025-08-21,直播,曝光
189,600,2025-07-28,图文,分享
190,675,2025-08-03,短视频,曝光
191,1507,2025-08-20,直播,加购
192,1037,2025-07-09,直播,点击
193,155,2025-07-08,短视频,曝光
194,1051,2025-08-08,图文,曝光
195,1323,2025-09-26,图文,曝光
196,1215,2025-08-07,短视频,曝光
197,1737,2025-09-17,直播,点击
198,1190,2025-09-08,短视频,加购
199,1625,2025-09-16,短视频,曝光
200,1039,2025-07-14,短视频,曝光
201,1274,2025-09-30,直播,曝光
202,311,2025-09-15,图文,曝光
203,1985,2025-09-17,直播,曝光
204,55,2025-07-05,短视频,点击
205,1937,2025-07-25,短视频,曝光
206,1153,2025-08-17,短视频,加购
207,675,2025-08-28,短视频,曝光
208,847,2025-08-29,直播,曝光
209,154,2025-09-29,图文,曝光
210,821,2025-07-02,图文,分享
211,143,2025-07-24,短视频,曝光
212,861,2025-07-07,短视频,点击
213,273,2025-08-19,直播,曝光
214,228,2025-07-26,直播,曝光
215,1425,2025-08-26,短视频,曝光
216,359,2025-08-05,图文,曝光
217,671,2025-07-24,直播,曝光
218,1325,2025-08-01,直播,曝光
219,1010,2025-08-28,图文,曝光
220,1028,2025-09-28,短视频,曝光
221,884,2025-07-16,直播,曝光
222,1220,2025-07-16,图文,曝光
223,1306,2025-09-27,图文,曝光
224,259,2025-09-20,短视频,曝光
225,1927,2025-09-21,短视频,分享
226,1629,2025-09-25,直播,曝光
227,849,2025-07-20,短视频,点击
228,746,2025-07-17,直播,加购
229,1452,2025-08-30,图文,曝光
230,1227,2025-09-08,短视频,曝光
231,1606,2025-09-15,短视频,曝光
232,932,2025-09-30,直播,曝光
233,883,2025-09-21,图文,加购
234,937,2025-07-23,直播,加购
235,592,2025-07-28,图文,曝光
236,1558,2025-08-16,直播,曝光
237,1593,2025-07-28,短视频,加购
238,221,2025-09-08,短视频,曝光
239,187,2025-09-14,直播,曝光
240,150,2025-09-06,短视频,曝光
241,659,2025-07-01,短视频,曝光
242,203,2025-09-15,短视频,曝光
243,1140,2025-07-27,直播,曝光
244,1991,2025-08-02,图文,曝光
245,1410,2025-08-21,图文,曝光
246,1855,2025-07-12,直播,曝光
247,298,2025-09-06,短视频,点击
248,1402,2025-09-01,短视频,曝光
249,1458,2025-08-11,短视频,曝光
250,896,2025-08-01,直播,曝光
251,1492,2025-07-27,直播,曝光
252,171,2025-08-29,短视频,点击
253,1232,2025-09-29,短视频,分享
254,1642,2025-08-13,图文,曝光
255,787,2025-09-28,短视频,曝光
256,379,2025-08-12,直播,曝光
257,21,2025-07-01,直播,曝光
258,546,2025-09-20,直播,曝光
259,1643,2025-08-02,短视频,曝光
260,1682,2025-08-28,图文,曝光
261,1234,2025-08-13,直播,点击
262,515,2025-08-27,直播,曝光
263,520,2025-09-09,直播,曝光
264,1690,2025-09-28,短视频,曝光
265,1168,2025-09-27,短视频,曝光
266,1572,2025-07-25,直播,曝光
267,741,2025-07-03,短视频,曝光
268,1675,2025-09-02,直播,曝光
269,942,2025-07-19,短视频,曝光
270,1349,2025-08-02,图文,点击
271,1703,2025-09-08,图文,加购
272,705,2025-08-25,图文,点击
273,1576,2025-08-25,直播,曝光
274,1307,2025-09-14,直播,曝光
275,995,2025-08-28,图文,曝光
276,1659,2025-09-23,短视频,曝光
277,880,2025-07-19,图文,曝光
278,1499,2025-08-09,图文,曝光
279,153,2025-08-10,短视频,曝光
280,1725,2025-09-15,短视频,点击
281,1930,2025-09-15,图文,分享
282,1968,2025-07-31,短视频,曝光
283,1689,2025-09-23,短视频,点击
284,1381,2025-08-30,短视频,曝光
285,1483,2025-07-22,图文,曝光
286,1857,2025-09-19,短视频,曝光
287,1461,2025-07-16,短视频,点击
288,544,2025-09-02,短视频,曝光
289,320,2025-09-24,直播,曝光
290,1947,2025-09-03,短视频,加购
291,279,2025-08-16,短视频,曝光
292,1821,2025-09-16,短视频,曝光
293,1872,2025-07-18,直播,曝光
294,83,2025-07-24,短视频,曝光
295,1615,2025-08-29,直播,曝光
296,1181,2025-09-07,直播,点击
297,780,2025-07-26,直播,点击
298,1006,2025-08-28,短视频,曝光
299,857,2025-09-11,短视频,曝光
300,1632,2025-08-20,图文,点击
301,824,2025-07-16,短视频,曝光
302,253,2025-09-28,图文,曝光
303,794,2025-08-02,短视频,曝光
304,1056,2025-08-07,直播,曝光
305,901,2025-08-22,短视频,曝光
306,1003,2025-07-22,直播,曝光
307,1975,2025-07-07,短视频,曝光
308,792,2025-09-16,直播,点击
309,1636,2025-09-08,短视频,曝光
310,1985,2025-07-18,短视频,点击
311,1662,2025-08-17,短视频,曝光
312,1080,2025-09-07,图文,点击
313,1979,2025-09-29,图文,分享
314,827,2025-09-24,短视频,加购
315,559,2025-07-07,短视频,加购
316,1713,2025-09-14,图文,曝光
317,1838,2025-07-14,短视频,曝光
318,279,2025-08-28,短视频,分享
319,639,2025-08-24,短视频,曝光
320,576,2025-09-23,短视频,点击
321,1640,2025-08-23,图文,曝光
322,558,2025-08-14,直播,曝光
323,1327,2025-08-25,短视频,曝光
324,1868,2025-07-07,直播,分享
325,1820,2025-07-03,直播,曝光
326,1761,2025-09-06,短视频,曝光
327,1059,2025-08-15,短视频,曝光
328,1214,2025-09-04,短视频,点击
329,1451,2025-08-14,短视频,加购
330,640,2025-09-18,短视频,点击
331,1003,2025-07-29,短视频,点击
332,937,2025-08-07,短视频,分享
333,1602,2025-07-25,直播,点击
334,1143,2025-07-14,短视频,曝光
335,891,2025-07-11,直播,曝光
336,1081,2025-07-10,直播,曝光
337,345,2025-07-10,直播,曝光
338,512,2025-08-01,短视频,曝光
339,1602,2025-08-10,短视频,曝光
340,261,2025-09-11,短视频,曝光
341,1366,2025-09-14,短视频,曝光
342,1816,2025-08-17,短视频,曝光
343,1368,2025-08-24,短视频,加购
344,1282,2025-07-16,直播,点击
345,1435,2025-07-25,直播,曝光
346,291,2025-07-23,短视频,加购
347,274,2025-08-15,图文,曝光
348,1980,2025-08-02,短视频,曝光
349,854,2025-07-20,直播,点击
350,823,2025-08-14,直播,分享
351,317,2025-07-11,短视频,点击
352,1466,2025-09-16,短视频,点击
353,69,2025-09-08,图文,点击
354,354,2025-09-30,短视频,曝光
355,450,2025-07-25,短视频,点击
356,1866,2025-08-25,短视频,曝光
357,1901,2025-09-13,直播,加购
358,159,2025-08-05,短视频,加购
359,279,2025-09-24,短视频,曝光
360,1912,2025-07-17,短视频,曝光
361,1269,2025-07-16,短视频,点击
362,1455,2025-08-17,短视频,曝光
363,1136,2025-08-02,短视频,曝光
364,455,2025-08-26,直播,曝光
365,1461,2025-09-17,短视频,曝光
366,362,2025-07-31,图文,曝光
367,59,2025-09-07,短视频,点击
368,1675,2025-07-30,短视频,曝光
369,760,2025-07-05,短视频,曝光
370,80,2025-09-15,直播,加购
371,869,2025-08-18,短视频,曝光
372,229,2025-08-30,短视频,曝光
373,942,2025-08-04,图文,点击
374,1346,2025-08-11,短视频,点击
375,677,2025-09-14,图文,加购
376,155,2025-08-21,短视频,曝光
377,1781,2025-07-14,短视频,曝光
378,1083,2025-08-16,图文,点击
379,47,2025-07-13,短视频,曝光
380,1149,2025-07-17,短视频,曝光
381,1848,2025-09-29,直播,曝光
382,36,2025-09-19,直播,分享
383,1574,2025-09-18,短视频,曝光
384,755,2025-07-09,直播,曝光
385,1416,2025-09-30,短视频,分享
386,58,2025-07-20,短视频,曝光
387,1814,2025-07-17,短视频,曝光
388,1934,2025-08-21,图文,加购
389,1100,2025-08-05,短视频,点击
390,431,2025-08-12,图文,曝光
391,303,2025-09-18,短视频,曝光
392,1380,2025-08-24,短视频,加购
393,1587,2025-07-28,直播,曝光
394,1348,2025-09-23,短视频,曝光
395,987,2025-09-03,短视频,曝光
396,1545,2025-07-27,短视频,分享
397,1475,2025-07-05,短视频,加购
398,671,2025-07-14,短视频,点击
399,1554,2025-07-19,短视频,曝光
400,369,2025-07-12,短视频,曝光
401,1641,2025-09-24,图文,曝光
402,1062,2025-07-06,直播,加购
403,1495,2025-09-26,图文,分享
404,1389,2025-09-11,短视频,点击
405,192,2025-07-07,短视频,曝光
406,1511,2025-08-12,短视频,曝光
407,1568,2025-07-01,短视频,点击
408,98,2025-07-24,短视频,点击
409,452,2025-07-25,短视频,曝光
410,1506,2025-09-01,直播,点击
411,722,2025-07-18,短视频,分享
412,225,2025-09-10,图文,点击
413,1710,2025-09-03,图文,曝光
414,1050,2025-09-25,直播,曝光
415,789,2025-08-20,短视频,点击
416,1111,2025-08-06,直播,曝光
417,800,2025-09-05,短视频,加购
418,255,2025-09-02,直播,曝光
419,1124,2025-07-20,短视频,加购
420,1928,2025-07-25,图文,分享
421,1904,2025-08-28,短视频,曝光
422,1277,2025-09-18,直播,分享
423,326,2025-08-18,直播,曝光
424,448,2025-09-22,直播,曝光
425,631,2025-08-20,短视频,曝光
426,102,2025-08-27,直播,曝光
427,281,2025-08-03,图文,曝光
428,1551,2025-08-30,短视频,曝光
429,859,2025-07-08,短视频,点击
430,1683,2025-08-30,图文,分享
431,124,2025-08-06,图文,曝光
432,182,2025-08-24,短视频,点击
433,1380,2025-09-29,短视频,曝光
434,515,2025-08-10,短视频,分享
435,452,2025-09-01,图文,点击
436,1285,2025-09-07,图文,点击
437,1827,2025-07-16,短视频,曝光
438,838,2025-09-28,图文,曝光
439,1526,2025-08-21,短视频,曝光
440,686,2025-09-07,短视频,加购
441,1679,2025-07-12,短视频,曝光
442,849,2025-07-29,图文,曝光
443,304,2025-09-25,短视频,曝光
444,1011,2025-08-16,图文,点击
445,585,2025-07-02,直播,曝光
446,370,2025-08-24,图文,曝光
447,368,2025-09-17,直播,曝光
448,777,2025-07-08,直播,曝光
449,20,2025-07-18,短视频,曝光
450,140,2025-08-15,短视频,曝光
451,1180,2025-08-06,直播,曝光
452,13,2025-07-10,短视频,曝光
453,1545,2025-07-18,短视频,曝光
454,1951,2025-08-16,短视频,曝光
455,368,2025-08-25,直播,点击
456,110,2025-07-09,短视频,曝光
457,421,2025-09-05,短视频,点击
458,87,2025-08-03,短视频,曝光
459,539,2025-09-30,短视频,分享
460,1780,2025-09-26,直播,曝光
461,1640,2025-08-26,短视频,曝光
462,1953,2025-07-01,直播,点击
463,1624,2025-07-12,直播,曝光
464,1690,2025-07-26,短视频,曝光
465,1185,2025-08-10,短视频,曝光
466,280,2025-08-04,短视频,点击
467,1538,2025-09-10,短视频,曝光
468,1280,2025-08-24,直播,点击
469,1925,2025-07-28,直播,曝光
470,1394,2025-09-27,图文,点击
471,1092,2025-09-21,图文,曝光
472,1544,2025-08-28,短视频,曝光
473,1313,2025-07-21,图文,曝光
474,226,2025-09-21,短视频,曝光
475,1223,2025-09-06,短视频,曝光
476,782,2025-07-15,直播,曝光
477,326,2025-07-17,直播,点击
478,553,2025-07-27,图文,点击
479,1670,2025-08-27,图文,曝光
480,1310,2025-09-20,短视频,曝光
481,117,2025-07-13,图文,点击
482,688,2025-07-01,图文,分享
483,1372,2025-09-01,直播,曝光
484,1018,2025-08-11,直播,曝光
485,1553,2025-07-08,直播,曝光
486,1253,2025-08-11,直播,曝光
487,75,2025-07-04,短视频,曝光
488,1732,2025-09-26,短视频,分享
489,1141,2025-09-18,短视频,曝光
490,1842,2025-08-11,图文,曝光
491,441,2025-09-14,短视频,曝光
492,1387,2025-09-22,短视频,点击
493,59,2025-07-03,短视频,曝光
494,313,2025-08-23,短视频,曝光
495,1766,2025-07-21,图文,曝光
496,1778,2025-07-28,短视频,曝光
497,1909,2025-08-28,直播,加购
498,410,2025-07-14,图文,曝光
499,1785,2025-09-23,图文,曝光
500,107,2025-08-15,图文,加购
501,802,2025-09-19,直播,点击
502,875,2025-07-02,短视频,加购
503,1585,2025-09-11,直播,曝光
504,1370,2025-07-31,直播,曝光
505,719,2025-09-03,短视频,曝光
506,299,2025-08-18,直播,曝光
507,731,2025-08-22,图文,曝光
508,599,2025-08-21,短视频,曝光
509,1341,2025-08-14,图文,曝光
510,161,2025-08-10,直播,曝光
511,823,2025-09-28,短视频,点击
512,1237,2025-09-27,短视频,曝光
513,1293,2025-08-24,短视频,曝光
514,1417,2025-07-14,短视频,点击
515,573,2025-07-05,短视频,加购
516,1040,2025-09-30,短视频,点击
517,197,2025-07-17,短视频,曝光
518,889,2025-09-02,短视频,曝光
519,1965,2025-09-04,短视频,曝光
520,1696,2025-09-14,图文,曝光
521,1246,2025-07-29,直播,曝光
522,839,2025-08-28,图文,曝光
523,1802,2025-08-11,直播,点击
524,884,2025-07-20,短视频,点击
525,1527,2025-09-05,图文,曝光
526,1155,2025-09-08,直播,曝光
527,43,2025-08-17,直播,点击
528,1408,2025-09-17,短视频,曝光
529,1787,2025-08-27,短视频,曝光
530,1555,2025-09-08,短视频,曝光
531,1230,2025-09-08,短视频,曝光
532,82,2025-09-19,图文,曝光
533,47,2025-08-28,直播,曝光
534,1703,2025-07-06,短视频,曝光
535,950,2025-09-27,短视频,曝光
536,903,2025-09-27,短视频,曝光
537,1282,2025-09-05,短视频,曝光
538,1812,2025-09-25,直播,加购
539,874,2025-07-19,短视频,曝光
540,1073,2025-09-21,短视频,曝光
541,1118,2025-07-12,图文,曝光
542,952,2025-08-28,短视频,曝光
543,1314,2025-08-17,图文,曝光
544,391,2025-09-16,直播,点击
545,747,2025-08-19,短视频,分享
546,940,2025-08-25,直播,曝光
547,1039,2025-07-30,直播,点击
548,986,2025-08-15,图文,曝光
549,837,2025-08-03,短视频,分享
550,1789,2025-09-24,直播,曝光
551,1602,2025-08-20,直播,曝光
552,1775,2025-07-20,短视频,曝光
553,1190,2025-07-05,直播,点击
554,973,2025-09-17,短视频,点击
555,862,2025-08-27,短视频,加购
556,1736,2025-08-10,短视频,曝光
557,1332,2025-07-27,短视频,分享
558,1709,2025-07-27,直播,曝光
559,1700,2025-08-27,图文,曝光
560,1897,2025-08-16,短视频,曝光
561,1091,2025-08-19,短视频,曝光
562,724,2025-08-28,短视频,曝光
563,1818,2025-09-24,图文,曝光
564,425,2025-07-17,直播,点击
565,646,2025-08-27,图文,曝光
566,1888,2025-09-08,直播,曝光
567,1428,2025-08-15,直播,曝光
568,1170,2025-08-06,图文,分享
569,1061,2025-08-18,短视频,点击
570,934,2025-09-03,图文,点击
571,1793,2025-08-01,短视频,加购
572,823,2025-07-15,图文,点击
573,959,2025-07-08,短视频,曝光
574,170,2025-07-06,短视频,曝光
575,230,2025-09-22,短视频,曝光
576,409,2025-07-15,短视频,曝光
577,600,2025-08-30,短视频,曝光
578,584,2025-07-17,短视频,点击
579,1334,2025-08-18,短视频,曝光
580,1103,2025-09-09,短视频,曝光
581,9,2025-07-14,短视频,分享
582,1034,2025-08-15,直播,点击
583,165,2025-08-09,短视频,曝光
584,1086,2025-09-09,直播,曝光
585,101,2025-08-22,直播,曝光
586,153,2025-09-07,短视频,曝光
587,1653,2025-08-24,短视频,点击
588,20,2025-07-23,直播,曝光
589,1945,2025-08-22,直播,曝光
590,927,2025-09-22,短视频,加购
591,1653,2025-08-07,直播,曝光
592,387,2025-09-09,短视频,曝光
593,934,2025-08-31,直播,分享
594,1784,2025-07-08,直播,曝光
595,155,2025-07-08,短视频,曝光
596,862,2025-08-22,直播,点击
597,246,2025-07-18,图文,曝光
598,704,2025-08-07,直播,点击
599,1942,2025-08-11,短视频,曝光
600,1089,2025-08-12,短视频,加购
601,668,2025-09-05,短视频,曝光
602,1258,2025-08-03,图文,曝光
603,564,2025-07-10,直播,曝光
604,164,2025-08-15,短视频,曝光
605,1131,2025-09-18,图文,加购
606,1483,2025-08-02,直播,曝光
607,358,2025-09-09,短视频,曝光
608,276,2025-08-12,直播,曝光
609,1196,2025-07-18,图文,曝光
610,774,2025-08-20,图文,曝光
611,1872,2025-08-14,短视频,曝光
612,714,2025-09-06,图文,曝光
613,785,2025-09-02,短视频,曝光
614,1139,2025-07-14,短视频,点击
615,1956,2025-07-06,直播,曝光
616,1379,2025-07-13,短视频,曝光
617,1333,2025-08-31,短视频,曝光
618,1602,2025-08-15,直播,曝光
619,1632,2025-08-04,短视频,曝光
620,1055,2025-08-13,短视频,曝光
621,574,2025-07-01,图文,点击
622,311,2025-08-21,图文,曝光
623,1135,2025-07-15,短视频,曝光
624,1392,2025-08-26,图文,曝光
625,733,2025-07-15,短视频,加购
626,958,2025-07-26,短视频,曝光
627,891,2025-09-25,直播,曝光
628,1178,2025-08-29,短视频,曝光
629,1638,2025-09-20,直播,分享
630,888,2025-08-15,直播,曝光
631,1039,2025-09-05,直播,曝光
632,833,2025-08-15,图文,点击
633,604,2025-08-27,图文,曝光
634,1403,2025-08-24,短视频,曝光
635,1234,2025-07-01,直播,分享
636,1049,2025-08-26,短视频,曝光
637,590,2025-07-13,直播,曝光
638,1736,2025-08-26,直播,分享
639,1610,2025-07-12,短视频,加购
640,1487,2025-09-15,短视频,曝光
641,1632,2025-08-23,直播,点击
642,953,2025-08-15,图文,曝光
643,1256,2025-09-25,短视频,曝光
644,429,2025-09-25,直播,点击
645,1566,2025-07-26,图文,曝光
646,36,2025-09-26,短视频,分享
647,1018,2025-08-08,短视频,曝光
648,411,2025-07-31,图文,曝光
649,1192,2025-09-25,短视频,曝光
650,563,2025-09-20,直播,曝光
651,1929,2025-09-17,短视频,曝光
652,237,2025-08-08,图文,曝光
653,1645,2025-08-24,直播,曝光
654,1339,2025-09-28,图文,曝光
655,1992,2025-07-04,直播,曝光
656,653,2025-09-24,短视频,曝光
657,1411,2025-09-24,短视频,曝光
658,61,2025-08-10,短视频,曝光
659,1354,2025-07-04,直播,曝光
660,874,2025-08-02,直播,点击
661,1453,2025-07-10,短视频,点击
662,1569,2025-09-02,图文,点击
663,974,2025-08-02,短视频,曝光
664,680,2025-08-03,短视频,曝光
665,1427,2025-08-21,直播,曝光
666,1805,2025-08-30,直播,分享
667,719,2025-07-12,短视频,曝光
668,1706,2025-08-08,图文,曝光
669,888,2025-07-09,短视频,曝光
670,1779,2025-08-16,短视频,曝光
671,1298,2025-07-31,直播,点击
672,1336,2025-08-04,直播,曝光
673,1377,2025-07-17,短视频,曝光
674,1614,2025-09-12,短视频,点击
675,1723,2025-07-26,短视频,曝光
676,778,2025-08-25,短视频,加购
677,1492,2025-08-29,图文,曝光
678,1387,2025-09-01,直播,曝光
679,1184,2025-07-01,短视频,加购
680,448,2025-09-14,图文,点击
681,931,2025-08-29,图文,曝光
682,410,2025-09-12,短视频,曝光
683,274,2025-09-07,短视频,曝光
684,1888,2025-08-16,短视频,点击
685,1448,2025-09-07,直播,曝光
686,1098,2025-07-24,短视频,曝光
687,884,2025-08-01,直播,曝光
688,144,2025-08-03,短视频,曝光
689,703,2025-08-05,直播,曝光
690,395,2025-08-20,短视频,点击
691,1077,2025-09-06,短视频,点击
692,923,2025-07-22,直播,曝光
693,1927,2025-07-31,图文,点击
694,1692,2025-09-10,短视频,分享
695,1202,2025-09-10,直播,点击
696,1792,2025-07-22,直播,曝光
697,659,2025-07-10,直播,点击
698,227,2025-07-31,直播,曝光
699,1122,2025-07-11,短视频,点击
700,125,2025-08-28,短视频,曝光
701,1886,2025-09-05,直播,曝光
702,244,2025-09-03,直播,曝光
703,1713,2025-08-01,直播,曝光
704,1343,2025-08-06,短视频,曝光
705,494,2025-08-14,短视频,点击
706,1066,2025-09-08,直播,曝光
707,1088,2025-09-26,直播,加购
708,1476,2025-09-21,直播,曝光
709,854,2025-08-01,短视频,曝光
710,1187,2025-07-16,直播,分享
711,832,2025-07-05,直播,点击
712,192,2025-09-23,短视频,曝光
713,1422,2025-09-25,短视频,曝光
714,516,2025-08-19,短视频,曝光
715,558,2025-07-07,短视频,曝光
716,664,2025-08-11,直播,分享
717,1134,2025-09-05,短视频,曝光
718,1416,2025-09-12,短视频,曝光
719,1630,2025-09-10,图文,点击
720,1194,2025-09-11,图文,曝光
721,796,2025-07-09,图文,曝光
722,1894,2025-09-01,直播,曝光
723,951,2025-09-30,短视频,曝光
724,292,2025-08-07,短视频,点击
725,1604,2025-08-17,短视频,曝光
726,1878,2025-07-25,短视频,曝光
727,582,2025-09-12,图文,曝光
728,441,2025-08-03,图文,曝光
729,705,2025-09-29,短视频,加购
730,687,2025-08-22,短视频,曝光
731,385,2025-08-01,直播,曝光
732,70,2025-08-21,直播,点击
733,376,2025-07-04,直播,曝光
734,594,2025-09-24,图文,曝光
735,377,2025-08-12,短视频,曝光
736,400,2025-08-12,短视频,曝光
737,1887,2025-08-07,短视频,曝光
738,435,2025-08-31,短视频,曝光
739,1644,2025-09-10,短视频,曝光
740,1145,2025-08-30,图文,曝光
741,873,2025-07-12,短视频,曝光
742,1562,2025-09-06,直播,曝光
743,34,2025-08-29,短视频,加购
744,1490,2025-09-30,直播,加购
745,833,2025-07-25,直播,曝光
